date,season,home_team,away_team,home_goals,away_goals,stage
2/19/2025,2024-25,PSV,Juventus FC,3,1,PLAYOFFS
3/4/2025,2024-25,Club Brugge KV,Aston Villa FC,1,3,LAST_16
3/4/2025,2024-25,Real Madrid CF,Club Atlético de Madrid,2,1,LAST_16
3/4/2025,2024-25,PSV,Arsenal FC,1,7,LAST_16
3/4/2025,2024-25,Borussia Dortmund,Lille OSC,1,1,LAST_16
3/5/2025,2024-25,Feyenoord Rotterdam,FC Internazionale Milano,0,2,LAST_16
3/5/2025,2024-25,Paris Saint-Germain FC,Liverpool FC,0,1,LAST_16
3/5/2025,2024-25,FC Bayern München,Bayer 04 Leverkusen,3,0,LAST_16
3/5/2025,2024-25,Sport Lisboa e Benfica,FC Barcelona,0,1,LAST_16
3/11/2025,2024-25,FC Barcelona,Sport Lisboa e Benfica,3,1,LAST_16
3/11/2025,2024-25,Liverpool FC,Paris Saint-Germain FC,1,5,LAST_16
3/11/2025,2024-25,FC Internazionale Milano,Feyenoord Rotterdam,2,1,LAST_16
3/11/2025,2024-25,Bayer 04 Leverkusen,FC Bayern München,0,2,LAST_16
3/12/2025,2024-25,Lille OSC,Borussia Dortmund,1,2,LAST_16
3/12/2025,2024-25,Aston Villa FC,Club Brugge KV,3,0,LAST_16
3/12/2025,2024-25,Club Atlético de Madrid,Real Madrid CF,3,4,LAST_16
3/12/2025,2024-25,Arsenal FC,PSV,2,2,LAST_16
4/8/2025,2024-25,Arsenal FC,Real Madrid CF,3,0,QUARTER_FINALS
4/8/2025,2024-25,FC Bayern München,FC Internazionale Milano,1,2,QUARTER_FINALS
4/9/2025,2024-25,Paris Saint-Germain FC,Aston Villa FC,3,1,QUARTER_FINALS
